Subject_ID,excluded,trials_total,trials_diatonic,trials_chromatic,d-prime,beta,c,Ad,diatonic_d-prime,diatonic_beta,diatonic_c,diatonic_Ad,diatonic_confidence,diatonic_conf_to_mean,diatonic_correct_confidence,diatonic_correct_conf_to_mean,chromatic_d-prime,chromatic_beta,chromatic_c,chromatic_Ad,chromatic_confidence,chromatic_conf_to_mean,chromatic_correct_confidence,chromatic_correct_conf_to_mean,conf_d:c,conf_correct_d:c,binom
SeqC0102,False,120,60,60,1.106941961688536,0.8031988251248847,-0.1979805630047371,0.7831060337946765,0.994659179451997,0.8073769976587353,-0.2151134426634904,0.7590750186223849,3.05,0.9734042553191489,3.186046511627907,0.9769062474677903,1.2223659070388322,0.8020511946251154,-0.1804556542239585,0.8063003133664988,3.216666666666667,1.0265957446808511,3.3333333333333335,1.0220673635307782,0.9481865284974093,0.9558139534883721,3.181060317037077e-07
SeqC0103,False,120,60,60,1.737776969421013,0.9874726610339329,-0.007254364536334268,0.890425451515001,2.384857425766425,2.6008212444846093,0.40079010513983804,0.9541356871532829,3.1,1.008130081300813,3.1,1.0090604026845638,1.3981488653971585,0.6871592284047807,-0.2683471334031218,0.8385804789478304,3.05,0.9918699186991868,3.0425531914893615,0.9903612737398256,1.0163934426229508,1.0188811188811189,5.2636097922335006e-12
SeqC0104,False,120,60,60,3.363746523747917,0.3659152057816428,-0.2988791347733204,0.9913090410758801,4.174694816384934,0.4859930958864918,-0.17284158313690967,0.9984211553451849,3.85,1.0065359477124183,3.85,0.9949438202247192,2.63581276004878,0.39700264146980524,-0.350484813922689,0.9688251777380685,3.8,0.9934640522875816,3.890909090909091,1.0055158324821247,1.0131578947368423,0.9894859813084111,2.99543337382752e-28
SeqC0106,False,120,60,60,0.6356337422513187,0.854088004733438,-0.2481319508072037,0.6734504066957366,0.9197003080248853,0.8492768545876175,-0.1776340069499345,0.7422592717975459,3.316666666666667,1.0310880829015545,3.3333333333333335,1.0012674271229405,0.35749027179969195,0.8923965165122955,-0.31845543478170807,0.5997823547428993,3.1166666666666667,0.9689119170984456,3.324324324324324,0.998561298941527,1.0641711229946524,1.0027100271002711,0.0006667238970035198
SeqC0108,True,120,60,60,0.5804893117400844,1.084966024843063,0.14048264342541533,0.6592686374393406,0.6717676931814844,1.0657862262826736,0.09484345270471535,0.6826106086196602,3.1333333333333333,1.0053475935828877,3.4054054054054053,1.0074324324324324,0.49044439908078047,1.0952470312893856,0.18550509975506732,0.6356279193118418,3.1,0.9946524064171123,3.3529411764705883,0.9919117647058824,1.010752688172043,1.0156472261735419,0.054779796913702196
SeqC0109,True,120,60,60,0.06910317533620236,1.0753129903309346,1.0507733204086578,0.519485891383984,-0.4150514438254741,0.6679595209090364,0.9722353956991241,0.3845754677755159,2.316666666666667,1.0296296296296297,2.3157894736842106,1.0397422126745437,0.7170759687762098,2.423856713598645,1.2346808336349457,0.6939398792882411,2.183333333333333,0.9703703703703703,2.16,0.9697959183673471,1.0610687022900764,1.0721247563352827,0.004455023177550957
SeqC0110,False,120,60,60,0.5004122196139131,0.9136250612697929,-0.18052118948850088,0.6382724291077125,0.49720057068155404,0.8837295485191752,-0.24860028534077702,0.6374210772527397,2.8666666666666667,0.9828571428571429,2.8947368421052633,0.9958957025591502,0.505816655682432,0.9443509163997797,-0.11319802895935384,0.6397035048391118,2.966666666666667,1.0171428571428571,2.918918918918919,1.0042152243987106,0.9662921348314606,0.9917153996101365,0.007846593122439764
SeqC0111,True,120,60,60,-0.25217804199714877,1.2736645625966991,-0.9592358870781843,0.4292370914802002,-0.6257972519213489,2.2282596566845636,-1.2803201920623755,0.3290617326667982,3.533333333333333,1.007125890736342,3.5555555555555554,1.0158730158730158,-0.052266641396898184,1.0393576783633836,-0.738576353087938,0.4852592084981884,3.4833333333333334,0.9928741092636579,3.4444444444444446,0.9841269841269842,1.014354066985646,1.032258064516129,0.03532368253776954
SeqC0116,False,120,60,60,1.4759096252110577,0.712716046138905,-0.22946675349617224,0.8516707021649308,1.8322801976645282,0.7577036225036559,-0.15143042504587706,0.9024463950924446,3.35,1.0075187969924813,3.48,1.0048632218844984,1.158358996309349,0.7089358973430271,-0.2969633510921663,0.7936306128222386,3.3,0.9924812030075187,3.4444444444444446,0.994596420128335,1.0151515151515151,1.0103225806451612,8.443958194827311e-11
SeqC0117,True,120,60,60,1.1026745140601992,1.4079805486790489,0.31029686314407273,0.7822187999345828,0.9555621546503481,1.1126139275087312,0.11167472052460425,0.7503795039320692,3.8833333333333333,1.0064794816414686,3.85,1.0037953795379537,1.3402884618871922,2.091378870604156,0.550496117903754,0.8283657893323157,3.8333333333333335,0.9935205183585314,3.8205128205128207,0.9961073030379961,1.0130434782608695,1.0077181208053692,0.0006667238970035198
